recipe_original,final_food_name,TotalTimeInMins,Cuisine,TranslatedInstructions,TranslatedIngredients,Cleaned-Ingredients,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),best_match_clean,matched_original_name,composite_score,token_set_score,wratio_score,food_token_score,negative_penalty,token_overlap
Methi Lachha Paratha Recipe,Methi parantha/paratha,25,Indian,"To begin making the Methi Lachha Paratha wash the methi leaves thoroughly and chop them finely.In a mixing bowl, add the all the ingredients like the chopped methi leaves, whole wheat flour, green chillies, garlic, salt  and knead it into a soft dough.
Rest it for 10 minutes.After 10 minutes, knead for a minute again until the paratha dough is soft and pliable.
Divide the dough into 10 equal portions.
Preheat a skillet over medium heat.
If you are using a cast iron skillet, then grease the skillet well and allow it to preheat.Keep some flour aside for dusting while rolling the dough.
Shape each dough portion into a round ball, press it between the palm of your hands.Dust the dough with flour and roll it into a 6-inch diameter circle.
Smear some ghee or oil on this rolled out the dough.
Dust some flour over the ghee.
This flour and ghee will help the Methi lachha paratha split itself into layers.Begin folding the Methi lachha paratha dough like an accordion, similar to a saree pleat.
Start from one end of the dough and reach the end.
The dough is essentially made into a pleat.
Once you have stacked up all the pleats one over the other, roll the dough into a swiss roll.Flatten the pleated swiss roll between the palm of your hands, dust in flour and roll into a 4 to 5-inch diameter circle.
You will be able to see the layers very clearly.Place the rolled layered Methi Lachha Paratha on the preheated skillet.
Cook on medium heat on both sides for a few seconds, then smear ghee and cook until golden brown and cooked through completely.Proceed the same way with the remaining portions of the paratha dough.Serve the Methi Lachha Paratha along with Mango Achar, Paneer Butter Masala or your favorite Vegetarian Gravy for a weeknight dinner or even for breakfast along with a chutney.","Salt - to taste,2 Green Chillies - finely chopped,2 cloves Garlic - finely chopped,1 cup Methi Leaves (Fenugreek Leaves),Figaro Pure Olive Oil - as needed,2 cups Whole Wheat Flour","salt,wheat flour,methi leaves (fenugreek leaves),figaro pure olive oil,cloves garlic,green chillies",148.36,22.19,4.27,4.34,2.44,5.09,48.36,65.85,2.42,12.63,28.46,methi parantha paratha,Methi parantha/paratha,94.46,80.95,80.95,2,0,0.67
Paneer Methi Paratha Recipe,Paneer parantha/paratha,50,North Indian Recipes,"To begin making the Paneer Methi Paratha Recipe, we will first need to make the dough for the parathas.
In a large bowl add in 2 cups of whole wheat flour and some salt.
Use your fingers and stir in the salt into the flour.Add water a little at a time and knead to make soft, pliable dough.
Knead dough for a couple of minutes until the dough is smooth and elastic.
Use the fold press and knead motion to make the dough smooth.Next we will add a teaspoon of oil to coat the dough and knead little more.
You want a dough that will be soft smooth and not sticky.Next we will divide the dough into 14 to 16 equal portions.
Cover the dough and allow the dough to rest until you the feeling ready.While the dough is resting, lets prepare the filling for the parathas.
I am going to be using homemade paneer as it makes the parathas softer, but you can use store bought paneer as well.In a large bowl; add in the homemade paneer.
Use your fingers or a fork and begin to crumble the cottage cheese.
Next add in 1 large chopped onion, lots of chopped methi leaves, finely chopped green chillies, cumin powder, and salt.
Combine all the ingredients well.Divide the filling into 10 to 12 equal portions.
This process of dividing and keeping the portions of dough and filling ready, helps you gauge the number of parathas you can make and if you need more or less of the filling.Take a paratha dough portion dust it in flour and flatten it on the rolling board by pressing it down.
Roll the dough out into approximately 3 inch diameter circles dusting with flour in between to prevent the dough from sticking to the surface.
Place this rolled dough to the side.Take another dough portion, dust it with flour again and roll into approximately 3 inch diameter circle.Now place the a portion of the filling onto the circle and spread it evenly around.
Next, take the other rolled portion of the dough and place it over the filling.Press and fold the edges so that the filling does not come out while cooking the paratha.
Once sealed press down the paneer paratha with your palms to release any air pockets.
And give it a gentle roll with the pin to even it out.
Proceed the same way with the remaining paratha dough and filling portions.Now we will get into the final steps of cooking a paneer methi paratha, preheat a skillet on medium heat and place the filled dough.Allow it to cook on medium heat for about 30 to 45 seconds and flip over.
Add this stage add a teaspoon of ghee or oil and spread it around the paneer paratha.Flip again, so the oiled side can cook on the skillet.
Spread a little more ghee and keep pressing the paneer parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly.
Make sure you cook on medium heat as it allows the parathas to get a crisp on the outside and yet soft texture.Once the paneer paratha is cooked transfer to a plate.
Continue to the remaining dough portions the same way.Serve the Stuffed Paneer Methi Paratha Recipe along with a Raita for a wholesome breakfast or dinner.","1 teaspoon Cumin powder (Jeera) - roasted and ground,1/2 cup Methi Leaves (Fenugreek Leaves) - finely chopped,Salt - to taste,2 Green Chillies - finely chopped,1 Onion - finely chopped,1/2 teaspoon Salt,2 cups Whole Wheat Flour,1 teaspoon Sunflower Oil,1 cup Paneer (Homemade Cottage Cheese) - crumbled","salt,wheat flour,cumin powder (jeera) ground,paneer,methi leaves (fenugreek leaves),onion,green chillies,sunflower oil",262.97,24.33,7.98,14.62,3.77,4,142.52,127.65,1.7,1.69,29,paneer parantha paratha,Paneer parantha/paratha,94.39,82.35,79.07,2,0,0.67
Sprouted Moong Dal Recipe - Spicy Sprouted Lentil Curry,Sprouted moong dal chat,25,North Indian Recipes,"To begin making the Sprouted Moong Dal Recipe, heat ghee/oil in a pressure cooker.Add the mustard seeds and the cumin seeds and once they crackle add the onion, garlic, asafoetida and saute it for 1-2 minutes till the onions turn translucent.After 1-2 minutes, add the turmeric powder, moong sprouts and sauté it for about a minute.Next add the masala, chilli powder and mix well.
Add water and then add the kokum, jaggery, salt, peanut powder and stir well to combine.Cover it with the lid and cook it till the cooker releases 1 whistle or till the sprouts are well cooked.
Adjust the consistency of water if required.Once the Sprouted Moong Dal  is done, garnish with fresh coriander leaves and serve hot.Serve Sprouted Moong Dal Recipe with hot with phulkas or hot Steamed Rice with a dollop of ghee for lunch or dinner.
","1/4 teaspoon Maharashtrian Goda Masala,2 cups Green Moong Sprouts,1/2 teaspoon Jaggery - grated,1 teaspoon Cumin seeds (Jeera),2 teaspoon Groundnut powder,Salt - to taste,1 teaspoon Mustard seeds,Coriander (Dhania) Leaves - Chopped,1 tablespoon Ghee - or oil,1 Onion - finely chopped,1/4 teaspoon Red Chilli powder,2 cups Water - or as required,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),2 Kokum (Malabar Tamarind),3 cloves Garlic - crushed","salt,mustard seeds,asafoetida (hing),kokum (malabar tamarind),coriander (dhania) leaves,green moong sprouts,red chilli powder,cloves garlic,jaggery,water,onion,cumin seeds (jeera),maharashtrian goda masala,ghee,oil,groundnut powder,turmeric powder",32.47,6.01,1.35,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12,sprouted moong dal chat,Sprouted moong dal chat,94.15,87.8,85.5,2,0,0.5
Chicken Tikka Masala Recipe,Shahi chicken masala,60,North Indian Recipes,"To begin making the Chicken Tikka Masala, thoroughly clean and wash the chicken pieces.
To marinate the Chicken for the Chicken Tikka Masala, in a mixing bowl, combine yogurt, cumin powder, coriander powder, turmeric powder, ginger, garlic, chili powder, kasuri methi and salt along with the chicken.
Allow the chicken to marinate for a minimum of 30 minutes.
Once the chicken is marinated, in a pan, add a teaspoon of oil and cook marinated chicken pieces until they are cooked well for about 8 minutes.
The chicken pieces should be juicy and tender.Cooking chicken for an extended time will make them hard and rubbery.
Do not add water.The next step is to make the tikka masala gravy.
Heat a teaspoon of oil over medium heat.
Add onion and cook until they become translucent.
Add tomatoes and cook them for about two minutes.
Add cashews and toss them for a minute.
Allow the onion tomato masala to cool down.Once it cools down, grind onion, tomato, and cashew into a fine paste.Heat a kadai/wok with a tablespoon of butter.
Once the butter melts, add cloves, cinnamon powder, and cardamom powder and saute until aroma comes out.Add cumin powder and coriander powder and combine them well.Add the onion-tomato-cashew puree to the pan, combine them well and saute for few minutes.Crush kasuri methi with your hand and add to the tikka masala gravy.
Add the marinated chicken pieces, required amount of salt and cream.
Toss the chicken tikka masala well so that they are combined well.Simmer the chicken tikka masala for about 5 minutes.
If the tikka masala is of thicker consistency, adjust addition of water according to your requirements.Switch off heat and garnish the chicken tikka masala with coriander leaves and it is ready to be served.Serve Chicken Tikka Masala with Dhaba Style Spicy Ghee Rice Recipe Made From Whole Spices or Butter Garlic Naan Recipe (Garlic Flavoured Flat Bread) and Pickled onions for a complete Weekend dinner.
","1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1/2 cup Curd (Dahi / Yogurt),1 tablespoon Butter (unsalted),Sunflower Oil - as required,1 Cloves (Laung),1/4 teaspoon Cinnamon Powder (Dalchini),Salt - to taste,1/2 cup Fresh cream,5 Cashew nuts,1 inch Ginger - finely chopped,Salt - as required,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),300 grams Chicken - cut into small size pieces,6 cloves Garlic - finely chopped,1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Tomato,1-1/2 teaspoon Coriander Powder (Dhania),1/4 teaspoon Cardamom Powder (Elaichi),1 Onion","tomato,salt,cumin powder (jeera),ginger,cashew nuts,sunflower oil,red chilli powder,cloves garlic,curd,onion,chicken,cardamom powder (elaichi),cloves (laung),coriander powder,turmeric powder,kasuri methi (dried fenugreek leaves),butter,cinnamon powder (dalchini)",163.7,4.07,9.82,12.02,2.86,0.96,142.56,82.68,0.89,9.92,65.41,shahi chicken masala,Shahi chicken masala,94.05,82.35,78.24,2,0,0.67
Paneer Onion Paratha Recipe,Paneer parantha/paratha,45,North Indian Recipes,"To begin making the Paneer Pyaz Paratha Recipe, we will first make the dough.
In a bowl, mix together wheat flour, salt and oil.
Add water little at a time and prepare a soft dough just as we make the dough for chapatis.
Grease your hands with oil and knead it well.
Cover it and let it rest for some time.To make the stuffing for the Paneer Pyaz Paratha Recipe; in a mixing bowl, combine the grated paneer, chopped onions, finely chopped green chillies and fresh coriander.Now add all dry spices - salt, red chilli powder, garam masala, coriander powder, chaat masala and mix everything well.Now make even size ball out of paratha dough and roll out the ball into a small circle dusting wheat flour.Add some stuffing in the centre and gather all the corners and seal it well and press it lightly.Dust some wheat flour and roll out the sealed dough into a circle as we do for chapati dough.
Don’t apply too much pressure.
Heat a tawa, on medium - high flame and put the rolled out Paneer Pyaz Paratha on it.
Let it cook a little bit on one side.Flip the Paneer Pyaz Paratha over to the other side and spread some ghee over the paratha which is half cooked.Flip it again, when the second side is half cooked and spread some ghee.Flip it again, do it couple of times till the Paneer Pyaz Paratha turns brown and is cooked well.Finally topped the Paneer Pyaz Paratha with butter and serve hot.Serve Paneer Pyaz Paratha Recipe along with Aam Ka Achaar Recipe, and Tomato Onion Tadka Raita Recipe for a quick weekday breakfast.
","1/2 tablespoon Red Chilli powder,Ghee - for roasting,1 cup Paneer (Homemade Cottage Cheese) - grated,1/2 tablespoon Coriander Powder (Dhania),Salt - to taste,Coriander (Dhania) Leaves - few,2 Green Chillies - finely chopped,1/2 cup Onion - finely chopped,2 cup Water - to knead,1/4 tablespoon Garam masala powder,1/2 tablespoon Chaat Masala Powder,3 cup Whole Wheat Flour,1 tablespoon Sunflower Oil,Whole Wheat Flour - for dusting","salt,water knead,wheat flour,coriander (dhania) leaves,paneer,chaat masala powder,red chilli powder,onion,ghee roasting,coriander powder,green chillies,garam masala powder,sunflower oil",262.97,24.33,7.98,14.62,3.77,4,142.52,127.65,1.7,1.69,29,paneer parantha paratha,Paneer parantha/paratha,94.05,82.35,78.24,2,0,0.67
Masala Cornflakes Chicken Recipe,Shahi chicken masala,50,Indian,"To begin making the Masala Cornflakes Chicken recipe, marinate the chicken in a mixing bowl along with red chili powder, coriander powder, turmeric  powder, garam masala, gjnger garlic paste, coriander leaves, and salt to taste.
Keep aside for 30 minutes.Heat oil in a deep frying pan and allow it to heat.Once the oil is hot, take each piece of chicken, dip in egg and then roll in cornflakes mixture.
Gradually lower the chicken pices in the hot oil and deep fry till golden brown.
Take them out a tissue paper so that it absorbs the excess oil.
Serve Masala Cornflakes Chicken along with Dhaniya Pudina Chutney, Date Tamarind Chutney or any other chutney of your choice for your house parties.","1/2 teaspoon Turmeric powder (Haldi),1/2 cup Coriander (Dhania) Leaves - chopped,Salt - to taste,2 cups Corn flakes - made to a coarse powder,1/2 teaspoon Garam masala powder,2 teaspoon Coriander Powder (Dhania),1 kg Boneless chicken - cut into bite sized pieces (1,1 tablespoon Ginger Garlic Paste,2 teaspoon Red Chilli powder,Sunflower Oil - to fry,2 Whole Eggs - beaten","salt,corn flakes coarse powder,coriander (dhania) leaves,red chilli powder,boneless chicken (,ginger garlic paste,coriander powder,eggs,turmeric powder,garam masala powder,sunflower oil",163.7,4.07,9.82,12.02,2.86,0.96,142.56,82.68,0.89,9.92,65.41,shahi chicken masala,Shahi chicken masala,94.05,82.35,78.24,2,0,0.67
Durg Style Mushroom Curry Recipe - Coorg Style Mushroom Curry Recipe,Pea mushroom curry (Matar mushroom),35,Coorg,"To make Kurg Style Mushroom Curry Recipe, first cut all the ingredients and prepare it.
Coconut in a mixer grinder.
Add cumin, garlic, water and make a paste.
Keep it aside.
Heat oil in a pan.
Add dry red chili, whole black pepper and cook it for 5 to 10 seconds.
Now add onions, green chilies and cook them to become soft.
After the onion becomes soft, add mushrooms and cook till it becomes soft.
Now add ground spices and cook for 2 to 3 minutes.
Now add tomatoes, coriander powder, turmeric powder, salt and mix well.
Now add 1/2 cup of water and cook it for 5 minutes.
Turn off the gas and serve.
Serve Kurg Style Mushroom Curry Recipe with Kerala and Carrot Methi Pachdi Recipe for dinner.","2 teaspoon Coriander (Dhania) Seeds,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Whole Black Peppercorns - coarsely pounded,1/4 cup Fresh coconut - grated,2 Dry Red Chillies,2 Tomatoes - chopped,2 Onion - thinly sliced,500 grams Button mushrooms - chopped,2 Green Chillies - chopped,Sunflower Oil,1/4 teaspoon Turmeric powder (Haldi),1 sprig Curry leaves,6 cloves Garlic","tomato,salt,coconut,black peppercorns,cloves garlic,curry leaves,dry red chillies,onion,coriander (dhania) seeds,cumin seeds (jeera),button mushrooms,turmeric powder,green chillies,sunflower oil",93.3,7.41,3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49,pea mushroom curry,Pea mushroom curry (Matar mushroom),94.01,87.5,85.5,2,0,0.5
Cauliflower Coconut Milk Stew Recipe,Cauliflower with coconut (Nariyal ke saath phoolgobhi),50,South Indian Recipes,"To begin making the Cauliflower Coconut Milk Stew Recipe, first get all the ingredients prepped and ready.Make the tomato puree and coconut milk and keep them ready.Steam the cauliflowers in a steamer along with a pinch of salt for about 3 to 4 minutes, until it is almost done.
Once done keep it aside.Heat a teaspoon of oil in heavy bottomed pan; add the garlic and the bay leaf and saute for a few seconds.
Add the tomato puree, turmeric powder, black peppercorns, cardamom powder and chili powder.
Stir well to combine and bring it to a brisk boil.
Once the tomatoes come to a brisk boil, add the cauliflower florets, the coconut milk and salt to taste.Stir and simmer for 10 minutes until the cauliflower is cooked through and absorbed all the spices.
Once done, check the salt and spices and adjust to suit your taste.Stir in the freshly chopped coriander leaves and serve.
Serve the Cauliflower Coconut Milk Stew along with a bowl of rice or a french bread for a weeknight dinner or even as a dish for parties.
You can even serve it along with Kerala Appam for breakfast or a Sunday Brunch.;;","1 Cauliflower (gobi) - cut into florets,1/2 teaspoon Turmeric powder (Haldi),3 sprig Coriander (Dhania) Leaves - finely chopped,1 cup Homemade tomato puree,Salt - to taste,Sunflower Oil - for cooking,2 cloves Garlic - grated,1/2 teaspoon Whole Black Peppercorns - coarsely pounded,1 Bay leaf (tej patta),1/2 cup Coconut milk,1/2 teaspoon Red Chilli powder,2 Cardamom (Elaichi) Pods/Seeds - pounded","tomato,salt,cardamom (elaichi) podsseeds,bay leaf (tej patta),cauliflower (gobi),red chilli powder,black peppercorns,cloves garlic,coriander (dhania) leaves,coconut milk,turmeric powder,sunflower oil",132.11,3.99,2.64,11.56,1.71,5.27,286.06,35.37,1.33,51.79,59.84,cauliflower with coconut,Cauliflower with coconut (Nariyal ke saath phoolgobhi),93.83,88.37,83.95,2,0,0.5
Cauliflower Coconut Milk Stew (Recipe In Hindi),Cauliflower with coconut (Nariyal ke saath phoolgobhi),50,South Indian Recipes,"To make cabbage stew, prepare sari ingredients first.
Also make puree of tomato and keep it.
Now put the cabbage in a steamer with a little salt and steam it for 3 to 4 minutes.
After that, keep it aside.
Now heat oil in a pan.
Add garlic, bay leaves and cook for 10 seconds.
Now add tomato puree, turmeric powder, black pepper, cardamom powder and red chili powder.
Mix and let it boil.
After boiling, add cauliflower, coconut milk and salt.
Mix and cook for 10 minutes.
After cooking, turn off the gas and garnish with green coriander.
Serve the cabbage stew with rice and beetroot pudding for dinner."," oil - as per use, 2 cloves garlic - grated, 1 bay leaf, 2 cardamom - grind, 3 sprigs of coriander - finely chopped, 1 cup tomato puree,1 cabbage - chopped, salt - as per taste, 1/2 teaspoon whole black pepper - grind, 1/2 teaspoon turmeric Powder, 1/2 cup coconut milk, 1/2 teaspoon red chilli powder","turmeric powder,tomato,salt,red chilli powder,cloves garlic,black pepper grind,bay leaf,coriander,oil,coconut milk,cardamom grind,cabbage",132.11,3.99,2.64,11.56,1.71,5.27,286.06,35.37,1.33,51.79,59.84,cauliflower with coconut,Cauliflower with coconut (Nariyal ke saath phoolgobhi),93.83,88.37,83.95,2,0,0.5
Makki Paneer Pakora Recipe,Paneer pakora/pakoda,25,Indian,"To start making Makki Paneer Pakora Recipe, In a small mixer jar grind fennel seeds, green chili and ginger without adding any water to a coarse paste and keep aside.Add the corn to food processor and grind to coarse paste without adding any water.Heat enough oil in a kadai on medium flame to deep fry pakoras.In a medium bowl, add ground corn, prepared coarse masala of ginger-green chili , grated paneer, chopped onions, coriander leaves, curry leaves, chickpea flour along with needed salt and mix well to combine.If the batter is dry then sprinkle water if needed and bring it to pakora batter consistency.Once the oil is hot, drop spoonfuls of prepared batter and add to oil.Fry them until golden and remove onto a paper towel.Repeat the process and make Makki Paneer Pakora until batter is done.Serve Makki Paneer Pakora Recipe along with mint chutney or sweet dates chutney on the side.
Serve it as a starter at your next party along with a meal of Nawabi Kofta Curry, Spiced Kumbh Pulao Recipe and Sheer Khurma.
","2 Green Chillies,10 Curry leaves - finely chopped,1/4 cup Gram flour (besan),1/4 cup Onion - finely chopped,1/2 inch Ginger,Salt - as needed,1-1/4 cup Sweet corn - mashed,1 teaspoon Fennel seeds (Saunf),2 tablespoon Coriander (Dhania) Leaves - finely chopped,100 grams Paneer (Homemade Cottage Cheese) - grated,Sunflower Oil - to deep fry","salt,ginger,coriander (dhania) leaves,paneer,fennel seeds (saunf),curry leaves,gram flour (besan),onion,sweet corn,green chillies,sunflower oil",718.12,5.52,3.27,76.05,1.08,0.89,131.7,43.38,0.43,0.07,143.43,paneer pakora pakoda,Paneer pakora/pakoda,93.78,82.05,77.95,2,0,0.67
Hunan Style Sweet Sour Chicken Recipe,Chicken sweet and sour,30,Hunan,"To begin making the Hunan Style Sweet Sour Chicken Recipe, heat oil in a non stick wok on a medium heat.Season the chicken pieces with salt and pepper and add to the pan.
Saute chicken till it is brownish in color and transfer to a plate.In the same pan, add red and yellow bell peppers and saute for a minute.Add in the pineapple chunks,pineapple juice, sugar, vinegar and chicken stock and bring to a boil.Mix the corn flour and water and make a lump free thick paste.
Add this paste to the boiling sauce and stir continuously.
The sauce will begin to thicken.
Once the sauce has become thick add the chicken pieces and cook for another 4-5 minutes or till cooked.
Turn off the heat.Line the serving tray/plate with lettuce leaf and place the chicken over it and serve.Serve Hunan Style Sweet Sour Chicken Recipe with Hakka Noodles With Egg Recipe for a weekend lunch or dinner.","2 Iceberg lettuce - leaves for garnish,3/4 cup Pineapple - chunks (fresh or canned),1/2 teaspoon Black pepper powder,4 teaspoons Water,2 tablespoons Extra Virgin Olive Oil - or sesame oil,2 Chicken breasts - boneless,Salt - as needed,1/4 cup Chicken stock,4 teaspoons Corn flour,1 teaspoon Sesame seeds (Til seeds) - for garnish,1/2 cup Red Bell pepper (Capsicum) - chopped,3 tablespoons Vinegar,1/2 cup Yellow Bell Pepper (Capsicum) - chopped,1/4 cup Pineapple juice,3 tablespoons Brown Sugar (Demerara Sugar)","yellow bell pepper (capsicum),salt,red bell pepper (capsicum),corn flour,iceberg lettuce leaves,chicken stock,water,vinegar,pineapple juice,virgin olive oil sesame oil,black pepper powder,pineapple ( canned),brown sugar (demerara sugar),chicken breasts bless,sesame seeds (til seeds)",445.09,2.67,6.92,47.59,0.89,0.58,1809.94,21.98,0.93,37.78,50.11,chicken sweet and sour,Chicken sweet and sour,93.66,91.3,86.74,1,0,0.75
Baked Fish Crisps Recipe (Fish Fry In Oven),Crispy baked fish,40,Indian,"To begin making the Baked Fish Crisps Recipe, clean the fish and in a large vessel add in the ingredients mentioned in the “To Marinate” table and make a fine paste and add the fish to it and mix well.Allow it to marinate for half an hour.
Meanwhile line your baking tray with Parchment paper.
Preheat the oven at 180 Deg c for about 10 mins.
Arranged the marinated fish pieces in the lined baking tray and using grill mode grill it for 7 mins.
After 7 mins flip the fish and then grill for another 7 mins.
Now that the colour of the fish would have slightly turned dark.
Flip the side of the fish once again and brush it with oil if required.
And grill for another 5 mins.Once done flip the fish once again and brush with little oil or sprinkle little oil and grill for another 5 mins.Fish would have cooked by now and it is ready to be served.
If you feel the fish is not yet cooked grill for another 4 mins by flipping the fish sides after 2 mins.
Serve hot as an appetizer/starter.Serve Baked Fish Crisps Recipe along with Dhaniya Pudina chutney or any other chutney of your choice.","1 tablespoon Water,Salt - to taste,1 teaspoon Sunflower Oil - optional,2 teaspoon Turmeric powder (Haldi),10 Fish - pieces,5 teaspoon Red Chilli powder","fish,salt,red chilli powder,water,turmeric powder,sunflower oil",138.4,9.59,10.95,6.41,1.53,1.21,192.42,60.04,0.55,16.97,46.78,crispy baked fish,Crispy baked fish,93.6,94.12,89.41,1,0,0.67
White Vegetable Kurma Recipe With Coconut & Cashew,Vegetable curry with coconut ,30,South Indian Recipes,"To begin making White Vegetable Kurma Recipe With Coconut & Cashew, wash the vegetables - carrot, potato, cauliflower,  chop into small pieces.
Keep aside.
Keep the potato immersed in water until use.In a mixer jar, combine the grated coconut, peppercorns, green chilli, fennel seeds, poppy seeds, cashews.Add little water and grind into smooth paste.
Keep aside.Heat a kadai with oil and add the spices - cinnamon, star anise, cloves, cardamom and cumin seeds.
Allow them to sizzle.
Add ginger-garlic paste and saute until raw smell goes.
Now add chopped onion and saute until translucent without turning brown.
Add the chopped vegetables and saute for a minute.
Pour the required water for cooking vegetables along with required salt.Mix and cook covered in medium flame until the veggies are cooked through.
Then add the ground coconut paste along with required quantity of water for the gravy.
Check for salt.
Cook on low flame for few minutes until it is combined well and starts boiling.Remove from flame.
The delicious white veg kurma is ready.
Serve White Vegetable Kurma Recipe With Coconut & Cashew along with Muttai Parotta Recipe ( Ande Ka Paratha / Egg Filled Flat Bread) and Kerala Style Egg Roast Curry Recipe","2 Green Chillies,1 teaspoon Poppy seeds,2 teaspoons Sunflower Oil,1/2 teaspoon Whole Black Peppercorns,Salt - to taste,1 teaspoon Cumin seeds (Jeera),2 Cardamom (Elaichi) Pods/Seeds,7 Potatoes (Aloo) - chopped,1/2 cup Fresh coconut - grated,1 Onion - chopped,1 Carrot (Gajjar) - chopped,1 teaspoon Fennel seeds (Saunf),6 Cashew nuts,1 tablespoon Ginger Garlic Paste,3 Cloves (Laung),2 cups Cauliflower (gobi) - cut to small florets,1 Star anise,1/2 inch Cinnamon Stick (Dalchini)","cashew nuts,salt,coconut,fennel seeds (saunf),cardamom (elaichi) podsseeds,cauliflower (gobi),black peppercorns,carrot,ginger garlic paste,onion,poppy seeds,cinnamon stick (dalchini),cumin seeds (jeera),cloves (laung),potato (aloo),green chillies,star anise,sunflower oil",83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67,vegetable curry with coconut,Vegetable curry with coconut ,93.52,88,83.6,2,0,0.5
Classic Apple Pie Recipe (Stars in the Galaxy),Apple cinnamon pie,40,Continental,"To begin making the Classic Apple Pie recipe, first let’s knead the pie dough and let it rest.
Till the time it will be ready to use, we will be done with all our preparations.Firstly we will make the dough and tart base.
Take all purpose flour in a bowl and add sugar.
Mix wellNow add diced butter and mix it well using your fingers.
Don’t use any spoon or ladle to mix.
Do it with fingers as it will make sure that every bit of flour has a buttery flavor to itAfter 5-10 minutes, you will start noticing crumbled texture of the flour.
Dip your fingers in cold water and keep mixing it lightly.Once the dough is kneaded, it will be rough crumbled dough, cover it in a cling film and let it rest in fridge for 30 minsTake it out post 30 minutes and roll it out.
Arrange it on the tart tin.
Make sure you press the corners with thumb to make it stick in perfect shape.On the base, make impressions with fork.
This will make sure that the dough will not rise during baking.
Now, spread kidney beans or chana over the top and bake well till 12 minutes at 150 degrees.
Once you will see light golden color of the base, tarts are ready.
Do not un-mould them.The next step is to make the apple filling.
Put all the stuff (except lemon juice and mint) in a pan and keep stirring it lightlyOnce the apples get moist and caramel comes out of the pan due to sugar, switch off the gas Now add lemon juice and mint leaves.
Mix well, taste it and adjust the spices.Next, arrange apple filling over the baked tarts.
Cover the top with the dough (design it as per your choice).Bake again for 10 minutes or till the top turns golden.
Take them out and let them cool down for good 2-3 hours.Your Classic Apple Pie is ready.
Savor them hot along with chilled vanilla icecream.Serve Classic Apple Pie along with Grilled Tofu Spinach/Lettuce Sandwich and Espresso Coffee for your next tea party.","Mint Leaves (Pudina) - as required,1 cup Butter - frozen,2 Lemon - Juice,2 tablespoon Sugar,1 teaspoon Cinnamon Powder (Dalchini),2 tablespoon Water - ice cold,1 teaspoon Nutmeg powder,6 Apples - chopped finely,4 tablespoon Brown Sugar (Demerara Sugar),2 cups Vivatta Maida,1 cup Sugar - powdered","nutmeg powder,apples,vivatta maida,sugar,butter,lemon,brown sugar (demerara sugar),mint leaves (pudina),water ice cold,cinnamon powder (dalchini)",258.73,33.68,3.35,12.21,11.95,1.77,60.14,16.14,0.65,2.24,11.58,apple cinnamon pie,Apple cinnamon pie,93.48,100,85.5,0,0,1
